"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.00921258333,-0.00349220308,-0.118649684,0.0135536259
0.0191695833,-0.0719522238,-0.103566602,0.0124534741
0.0291275833,-0.128314823,-0.124271348,0.0151139721
0.0390845833,-0.139436454,-0.154255077,0.0241854973
0.0490425833,-0.0862792283,-0.13096334,0.0316785686
0.0589995833,0.0118846223,-0.0903035328,0.027301928
0.0689575833,0.127919346,-0.07210695,-0.00256249355
0.0789145833,0.205609351,-0.0234797597,-0.0114973988
0.0888725833,0.209989712,0.0144598996,-0.00192599813
0.0988305833,0.163618758,0.0320820361,0.0121850269
0.108787583,0.102393486,0.034599524,0.0282156598
0.118745583,0.0412640832,-0.0386954658,0.0395796336
0.128702583,-0.00708187791,-0.0782854855,0.0552856252
0.138660583,-0.0484650023,-0.0726267993,0.0687886551
0.148617583,-0.0681042224,-0.0705639124,0.0683058202
0.158575583,-0.0730635598,-0.0864166468,0.0542954616
0.168532583,-0.0677841082,-0.0934641734,0.0400337018
0.178490583,-0.0663513243,-0.0982027352,0.0326737911
0.188447583,-0.0655582398,-0.0699921325,0.0313533954
0.198405583,-0.064140372,-0.0523739904,0.0405783206
0.208363583,-0.05807795,-0.0474151857,0.0508642457
0.218320583,-0.0619757511,-0.0342623666,0.0544770919
0.228278583,-0.0775073096,-0.0272015277,0.0601232573
0.238235583,-0.0887727439,-0.0137008987,0.057658501
0.248193583,-0.0755219236,-0.0176500995,0.0457768105
0.258150583,-0.0392808281,-0.0450710729,0.0228448622
0.268108583,0.00526240608,-0.0691817328,0.00437264424
0.27806525,0.03741901,-0.0628833547,-0.00291482988
0.28802325,0.0427077822,-0.0472561941,-0.00430446723
0.29798125,0.0155011956,-0.0333766006,0.000658067118
0.30793825,-0.021959627,-0.0392501988,-0.00032890038
0.31789625,-0.0538568385,-0.0563751236,-0.0089301113
0.32785325,-0.0802200064,-0.0420233496,-0.0193177722
0.33781125,-0.0870110616,-0.0325925648,-0.0334335901
0.34776825,-0.0875069425,-0.0516874306,-0.0315430127
0.35772625,-0.100215286,-0.0613858625,-0.0178442448
0.36768325,-0.100574277,-0.0575224161,-0.0114558535
0.37764125,-0.081080474,-0.0408172049,-0.0164844338
0.38759825,-0.0479251817,-0.00981108565,-0.0308005232
0.39755625,-0.0122950161,0.0355856903,-0.0327126719
0.40751425,-0.00209297822,0.0590244383,-0.0219282024
0.41747125,-0.0310418047,0.0542216934,-8.28243064E-05
0.42742925,-0.0898063183,0.055761531,0.0265045781
0.43738625,-0.165305868,0.0539886653,0.0474479422
0.44734425,-0.215261713,0.0375897214,0.0470937416
0.45730125,-0.221053019,0.0208269842,0.0277189799
0.46725925,-0.182469681,0.0112502575,-0.00486293202
0.47721625,-0.125001058,-0.00745205721,-0.0342573076
0.48717425,-0.0796575472,-0.0258917846,-0.0503190979
0.49713225,-0.042445194,-0.0508890115,-0.0577559732
0.50708925,-0.00791225117,-0.0611059628,-0.0590425469
0.51704725,0.0208919663,-0.0221372601,-0.0536163561
0.52700425,0.0384376682,0.0317752399,-0.0553830974
0.53696225,0.0379013084,0.0900252312,-0.0666029975
0.54691925,0.00969284121,0.114307404,-0.0697098374
0.55687725,-0.0533393882,0.103026517,-0.052109275
0.56683425,-0.102057129,0.0893064439,-0.0179094914
0.57679225,-0.11230737,0.0737053826,0.00888963137
0.58675025,-0.0995377749,0.0399325006,0.0250425022
0.59670725,-0.0669412166,0.0318327658,0.0292399097
0.60666525,-0.0161217116,0.0491755344,0.0226400644
0.61662225,0.0359156579,0.0599333756,0.0128928954
0.62658025,0.0824179128,0.0898137763,-0.00371084874
0.63653725,0.105555452,0.116663769,-0.0232608486
0.64649525,0.0859423354,0.100323409,-0.0324093401
0.65645225,0.034361437,0.0803957731,-0.029629264
0.66641025,0.014735803,0.0586673096,-0.0249125399
0.67636825,0.0277314968,0.0388049185,-0.0183015093
0.68632525,0.0393790975,0.043807134,-0.0152031872
0.69628325,0.0287951622,0.074921377,-0.0149366055
0.70624025,-0.00496386597,0.0726102889,-0.0136766639
0.71619825,-0.0395692475,0.0608244687,-0.00427437341
0.72615525,-0.0516967513,0.0907749087,-0.00622966653
