"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.00973158333,-110.620453,128.795532,-310.644592
0.0199795833,-110.730377,128.506592,-310.620544
0.0302285833,-110.785217,128.718307,-310.661652
0.0404755833,-110.794983,128.593277,-310.702484
0.0507235833,-110.822708,128.720093,-310.764282
0.0609715833,-110.864532,128.732773,-310.518951
0.0712185833,-110.828186,128.58345,-310.567291
0.0814665833,-111.012711,128.579407,-310.703064
0.0917145833,-110.860565,128.427399,-310.871338
0.101963583,-110.968979,128.361526,-310.702393
0.112211583,-111.040985,128.164276,-310.867065
0.122459583,-111.029129,128.195999,-310.76059
0.132707583,-111.007538,128.156189,-310.798218
0.142955583,-110.930817,128.408127,-310.902191
0.153203583,-111.04071,128.288849,-310.904663
0.163452583,-111.037277,128.451035,-310.729401
0.173700583,-111.201965,128.382614,-310.549561
0.183948583,-111.242355,128.306442,-310.663422
0.194196583,-111.101227,128.461121,-310.757141
0.204444583,-111.129303,128.501633,-310.414215
0.214692583,-111.12468,128.433456,-310.522217
0.224940583,-111.121704,128.357925,-310.568237
0.235189583,-111.279419,128.623596,-310.611053
0.245436583,-111.378159,128.371704,-310.639191
0.255685583,-111.232285,128.744308,-310.289398
0.265933583,-111.08934,128.362778,-310.507263
0.276181583,-111.193039,128.657425,-310.543854
0.28642825,-111.101242,128.314743,-310.625549
0.29667625,-111.242508,128.45134,-310.691376
0.30692425,-111.387848,128.573624,-310.60141
0.31717125,-111.217606,128.652405,-310.545532
0.32741925,-111.355545,128.746475,-310.672974
0.33766725,-111.251816,128.661469,-310.561096
0.34791625,-111.405579,128.731445,-310.439819
0.35816425,-110.96817,128.881653,-310.388672
0.36841125,-111.212845,128.88887,-310.287964
0.37866025,-111.242645,128.751694,-310.537842
0.38890825,-111.297974,128.879318,-310.341949
0.39915725,-111.414459,129.153275,-310.428711
0.40940525,-111.405487,128.836365,-310.362244
0.41965325,-111.231689,128.990753,-310.058807
0.42990125,-111.424088,129.007812,-310.572083
0.44014825,-111.183334,128.941269,-310.33493
0.45039625,-111.214706,129.140884,-310.491882
0.46064425,-111.1418,129.146744,-310.430786
0.47089125,-111.343643,129.313644,-310.680603
0.48113925,-111.228073,129.284302,-310.348633
0.49138625,-111.333282,129.544342,-310.344666
0.50163425,-111.198135,129.514221,-310.035278
0.51188225,-111.308762,129.461136,-310.356934
0.52212925,-111.355896,129.536896,-310.301056
0.53237725,-111.332642,129.296768,-310.431763
0.54262425,-111.280334,129.495605,-310.27066
0.55287225,-111.296005,129.429016,-310.05957
0.56311925,-111.367584,129.377045,-310.460083
0.57336625,-111.349991,129.262482,-310.474243
0.58361325,-111.256271,129.457138,-310.156616
0.59386125,-110.974304,129.643127,-309.951477
0.60410825,-110.966461,129.795547,-310.483551
0.61435525,-111.08197,129.972427,-310.190247
0.62460325,-110.946671,129.726562,-310.521851
