"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.00689091667,0.890194105,-0.154426007,-8.31551128
0.0168489167,1.01499187,-0.133327105,-7.54248342
0.0268069167,0.843956085,-0.355688584,-7.52617292
0.0367649167,0.540640662,-0.739209763,-8.15255593
0.0467229167,0.297928469,-1.17330845,-9.11921485
0.0566809167,0.260818343,-1.40644384,-9.99624084
0.0666389167,0.313790055,-1.44175831,-10.6043681
0.0765969167,0.413598337,-1.3628993,-10.8391495
0.0865549167,0.549319643,-1.20802438,-10.8056306
0.0965129167,0.641197132,-1.0127473,-10.4635591
0.106470417,0.741155051,-0.763151779,-9.88296518
0.116428417,0.865054987,-0.622941344,-9.34501799
0.126386417,0.962169792,-0.604984832,-9.01297215
0.136344417,0.979677392,-0.671723203,-8.89655409
0.146302417,0.906354966,-0.786495245,-8.9351606
0.156260417,0.802805744,-0.880467661,-9.13687209
0.166218417,0.733972446,-0.856974557,-9.37853682
0.176176417,0.679354721,-0.825251385,-9.6956189
0.186134417,0.657657269,-0.834379279,-10.1466266
0.196092417,0.678905808,-0.853383254,-10.616788
0.206050417,0.666485887,-0.808342336,-10.6848731
0.216008417,0.600645341,-0.698358697,-10.3818569
0.225966417,0.596754764,-0.610970336,-9.90496191
0.235924417,0.617704028,-0.612317075,-9.49136357
0.245882417,0.658255819,-0.704793114,-9.24101986
0.255840417,0.66633625,-0.774224962,-9.16724852
0.265798417,0.610671061,-0.813130739,-9.26735608
0.275756417,0.575057311,-0.823455733,-9.37913537
0.285714417,0.590619622,-0.791582924,-9.4970498
0.295672417,0.617704028,-0.760907215,-9.77328081
0.305630417,0.579546439,-0.809838712,-10.0749502
0.315588417,0.424671519,-0.862660786,-10.4771761
0.325546417,0.279223769,-0.841861159,-10.6513543
0.335504417,0.265307471,-0.765545981,-10.4212116
0.345461417,0.357334598,-0.749235482,-9.99190135
0.355419417,0.463577296,-0.769586196,-9.66000515
0.365377417,0.46462476,-0.762104316,-9.53026935
0.375335417,0.441879844,-0.739509038,-9.50273603
0.385293417,0.452504114,-0.743249978,-9.51410848
0.395251417,0.474201566,-0.798316616,-9.57740519
0.405209417,0.445770422,-0.826298848,-9.66239935
0.415167417,0.323366862,-0.832733265,-9.70085621
0.425125417,0.24226328,-0.813130739,-9.64997943
0.435083417,0.176572372,-0.746542005,-9.72494787
0.445041417,0.156670571,-0.771082572,-9.93967783
0.454999417,0.29538463,-0.819714793,-10.1003886
0.464957417,0.376488211,-0.806546684,-10.1255277
0.474915417,0.375440748,-0.744596716,-10.1211882
0.484873417,0.340724824,-0.63446344,-10.1041296
0.494831417,0.30974984,-0.55141457,-10.0098579
0.504789417,0.367509955,-0.53764791,-9.83433296
0.514747417,0.459836356,-0.577601151,-9.67975731
0.524705417,0.503680174,-0.669329002,-9.63381857
0.534663417,0.520289948,-0.705690939,-9.67885949
0.544621417,0.508618215,-0.719457599,-9.77417864
0.554579417,0.439336005,-0.730530782,-9.89209307
0.564537417,0.439784917,-0.699705435,-9.87683004
0.574495417,0.425120432,-0.662296034,-9.79557682
0.584453417,0.418536378,-0.662595309,-9.73108301
0.594411417,0.414196887,-0.705391664,-9.74425112
0.604369417,0.397287838,-0.734870272,-9.76789386
0.614327417,0.388309582,-0.781706842,-9.75547394
0.624285417,0.373495459,-0.821660082,-9.66554174
0.634243417,0.378283862,-0.858171658,-9.61601169
0.644201417,0.34281975,-0.840813696,-9.78854385
0.654159417,0.227898071,-0.817170954,-10.0065658
0.664117417,0.146345576,-0.788440534,-10.1267248
0.674075417,0.10429741,-0.811933638,-10.2091752
0.684033417,0.215927062,-0.831236889,-10.0179383
0.693991417,0.371101257,-0.791283649,-9.74784242
0.703949417,0.52956748,-0.728585493,-9.47340706
0.713907417,0.618601854,-0.619200404,-9.28636005
0.723865417,0.650025751,-0.510862779,-9.24999811
0.733823417,0.652270315,-0.4333505,-9.31179844
0.743781417,0.56952072,-0.449361724,-9.55376245
0.753739417,0.479139607,-0.505026913,-9.89134488
0.763697417,0.433051225,-0.485873299,-10.0718078
0.773655417,0.539593199,-0.48273091,-10.0973959
0.783613417,0.665139149,-0.489763877,-10.2380552
0.793571417,0.625335546,-0.517147559,-10.4122334
0.803529417,0.568323619,-0.518344659,-10.3053921
0.813486417,0.492906267,-0.525676902,-10.0168908
0.823444417,0.441730206,-0.511910242,-9.63845733
0.833402417,0.385616105,-0.531512769,-9.40232919
0.843360417,0.328005627,-0.572064559,-9.37733971
0.853318417,0.345064314,-0.577750788,-9.42627121
0.863276417,0.461033457,-0.625784459,-9.54702876
0.873234417,0.487968226,-0.618003304,-9.69232687
0.883192417,0.48647185,-0.579247164,-9.84690252
0.893150417,0.511910242,-0.53390697,-9.99264954
0.903108417,0.485424387,-0.534206245,-10.0936549
0.913066417,0.372148721,-0.588524696,-10.2313215
0.923024417,0.201112939,-0.64508771,-10.305841
0.932982417,0.221613291,-0.649277563,-10.0873701
0.942940417,0.350002355,-0.63880293,-9.78869349
0.952898417,0.513406618,-0.588524696,-9.62663596
0.962856417,0.534954433,-0.440682743,-9.58279214
0.972814417,0.558148262,-0.335637145,-9.57650737
0.982772417,0.596305851,-0.311695129,-9.60942764
