"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.055791683E-3,-3.064876556E0,4.848267975E0,7.829767914E0
8.893208316E-3,-2.971620483E0,4.789589996E0,7.860753479E0
1.884120834E-2,-2.943329315E0,4.732408905E0,7.826325073E0
2.879020834E-2,-2.995720367E0,4.736899567E0,7.690707092E0
3.873920834E-2,-3.028502197E0,4.792583771E0,7.402406616E0
4.868720833E-2,-2.996768188E0,4.807552643E0,7.003186798E0
5.863620833E-2,-2.918930054E0,4.868176575E0,6.759942627E0
6.858520833E-2,-2.822081451E0,4.825964355E0,6.620432739E0
7.853320832E-2,-2.672692108E0,4.755460968E0,6.634802856E0
8.848220832E-2,-2.493365021E0,4.721631317E0,6.961273956E0
9.843020834E-2,-2.276016998E0,4.621190186E0,7.415878601E0
1.083792083E-1,-2.077529755E0,4.588558044E0,7.889942780E0
1.183282083E-1,-1.961970062E0,4.616400146E0,8.273744659E0
1.282762083E-1,-1.930984497E0,4.678520966E0,8.448431396E0
1.382252083E-1,-1.942360840E0,4.815935211E0,8.394244080E0
1.481742083E-1,-1.901346130E0,4.993316345E0,8.177345123E0
1.581222083E-1,-1.830992432E0,5.124593353E0,7.870782623E0
1.680712083E-1,-1.803449707E0,5.144651642E0,7.458390198E0
1.780202083E-1,-1.756297760E0,4.692591705E0,7.185208282E0
1.879682083E-1,-1.649869080E0,4.066892853E0,6.921456757E0
1.979172083E-1,-1.624571686E0,3.734583893E0,6.861581268E0
2.078662083E-1,-1.638492737E0,3.595822449E0,7.128625946E0
2.178142083E-1,-1.502874756E0,3.501219177E0,7.691455536E0
2.277632083E-1,-1.264270935E0,3.377725983E0,8.810528412E0
2.377122083E-1,-1.058149567E0,3.381019135E0,9.709708557E0
2.476602083E-1,-6.984475708E-1,3.327729950E0,1.011222153E1
2.576092083E-1,-4.779560852E-1,3.183579712E0,1.066292633E1
2.675582083E-1,-3.224295044E-1,3.175346832E0,1.094868210E1
2.775062083E-1,-1.779798889E-1,3.164718933E0,1.101439545E1
2.874552083E-1,-1.073268127E-1,3.173550568E0,1.082189575E1
