"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.790874999E-3,-8.405559063E-1,-5.794823766E-1,-7.446604781E-3
1.873987500E-2,-1.048595548E0,-5.640525222E-1,1.407513861E-2
2.868987501E-2,-1.175855517E0,-5.260359049E-1,3.079446591E-2
3.863887500E-2,-1.214301944E0,-4.880666137E-1,3.285007179E-2
4.858787500E-2,-1.181747437E0,-4.727771580E-1,1.169951074E-2
5.853687500E-2,-1.105527282E0,-4.698792100E-1,-2.660901099E-2
6.848587500E-2,-1.002961755E0,-4.882946908E-1,-7.418584824E-2
7.843587501E-2,-9.169833064E-1,-5.484158397E-1,-1.374596655E-1
8.838487501E-2,-8.744023442E-1,-6.764880419E-1,-2.258161604E-1
9.833387501E-2,-8.767447472E-1,-8.376408815E-1,-3.149501085E-1
1.082828750E-1,-9.135027528E-1,-9.772794843E-1,-3.882967532E-1
1.182318750E-1,-9.821362495E-1,-1.056068897E0,-4.452360868E-1
1.281818750E-1,-1.061518788E0,-1.038658738E0,-4.754845202E-1
1.381308750E-1,-1.135135174E0,-9.501702189E-1,-4.707091749E-1
1.480798750E-1,-1.176516652E0,-8.372197151E-1,-4.453798532E-1
1.580288750E-1,-1.191385627E0,-7.030799389E-1,-4.177519381E-1
1.679778750E-1,-1.189757109E0,-6.098839641E-1,-4.002280533E-1
1.779278750E-1,-1.195112705E0,-5.484994054E-1,-4.111439884E-1
1.878768750E-1,-1.223524570E0,-5.085077882E-1,-4.542991817E-1
1.978258750E-1,-1.255938768E0,-5.184555650E-1,-4.958260655E-1
2.077748750E-1,-1.283820987E0,-5.590290427E-1,-5.413690209E-1
2.177248750E-1,-1.319496155E0,-6.528169513E-1,-5.932059288E-1
2.276738750E-1,-1.311671257E0,-8.146417737E-1,-6.397148371E-1
2.376228750E-1,-1.253786087E0,-9.647021294E-1,-6.771402359E-1
2.475718750E-1,-1.148930788E0,-1.137249112E0,-6.685733795E-1
2.575208750E-1,-1.040869355E0,-1.261692882E0,-6.315174699E-1
2.674708750E-1,-9.169882536E-1,-1.232299566E0,-6.178328395E-1
2.774198750E-1,-7.822104096E-1,-1.139864206E0,-6.141318679E-1
2.873688750E-1,-6.631117463E-1,-1.096911073E0,-6.007782221E-1
2.973178750E-1,-5.653184056E-1,-1.079175472E0,-5.806287527E-1
3.072668750E-1,-4.654761851E-1,-1.089258790E0,-5.510945320E-1
3.172168750E-1,-3.327179551E-1,-1.099443555E0,-5.166704655E-1
3.271658750E-1,-1.807166934E-1,-1.119589329E0,-4.789656401E-1
3.371148750E-1,-4.768663645E-2,-1.225739717E0,-4.799338281E-1
3.470638750E-1,3.518747166E-2,-1.445914984E0,-5.319504142E-1
3.570128750E-1,5.957102031E-2,-1.736063480E0,-6.038370728E-1
3.669628750E-1,7.477420568E-2,-1.676352978E0,-5.759396553E-1
3.769118750E-1,1.251864880E-1,-1.210917115E0,-3.548663855E-1
3.868608750E-1,1.725260466E-1,-7.102993727E-1,-5.162690766E-3
3.968098750E-1,1.872291863E-1,-3.322242796E-1,3.766200244E-1
4.067588750E-1,1.646130830E-1,-1.122535691E-1,6.891191006E-1
4.167088750E-1,8.326490223E-2,-8.184965700E-2,8.122287989E-1
4.266578750E-1,-2.697505243E-2,-1.169727594E-1,7.212318182E-1
4.366068750E-1,-1.254460812E-1,3.936193138E-2,5.635112524E-1
4.465558750E-1,-2.104025185E-1,3.688569963E-1,4.383708835E-1
4.565048750E-1,-2.844095230E-1,6.659229398E-1,3.140224516E-1
4.664548750E-1,-3.240599930E-1,7.967826724E-1,1.405768991E-1
4.764038750E-1,-2.882267833E-1,8.171779513E-1,-4.986108094E-2
4.863528750E-1,-1.936448514E-1,8.078233600E-1,-1.943354309E-1
4.963018750E-1,-7.517710328E-2,7.602791190E-1,-2.979914844E-1
5.062508750E-1,-4.936175048E-2,7.210169435E-1,-3.888955712E-1
5.162008750E-1,-1.094370112E-1,6.127448678E-1,-5.228342414E-1
5.261498750E-1,-1.619239151E-1,4.935732186E-1,-6.207650900E-1
5.360988750E-1,-1.226417348E-1,4.602108896E-1,-5.819625258E-1
5.460478750E-1,3.418733599E-3,5.954813361E-1,-3.977223635E-1
5.559968750E-1,1.301214993E-1,8.363576531E-1,-1.911752969E-1
