"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.323954582E-3,4.388019296E1,1.253012374E2,2.337531360E2,NaN,NaN,3.803395467E1,3.000000000E1
1.432204247E-2,4.388003784E1,1.253010024E2,2.342522856E2,NaN,NaN,8.444772368E1,3.000000000E1
5.297994614E-2,4.388002385E1,1.253010083E2,2.342578093E2,NaN,NaN,8.429761961E1,3.000006918E1
3.618690968E0,4.388001555E1,1.253011282E2,2.339665442E2,NaN,NaN,3.667677362E1,3.000000000E1
9.647263050E0,4.387989902E1,1.253011400E2,2.339669161E2,NaN,NaN,4.760403524E1,3.000000000E1
1.003092098E1,4.388002152E1,1.253012185E2,2.342422249E2,NaN,NaN,3.529158073E1,3.000000000E1
1.602355599E1,4.388009792E1,1.253012016E2,2.341183963E2,NaN,NaN,2.873427581E1,3.000000000E1
2.204165602E1,4.388023266E1,1.253010666E2,2.341301254E2,NaN,NaN,3.273454523E1,3.000000000E1
2.227171004E1,4.388012626E1,1.253011753E2,2.340232866E2,NaN,NaN,3.275176823E1,3.000000000E1
2.827964199E1,4.388015469E1,1.253011099E2,2.338851527E2,NaN,NaN,2.686273922E1,3.000000000E1
