"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.055708334E-2,-1.206383896E1,-2.816887665E1,-3.709854126E1
3.050708334E-2,-1.213898849E1,-2.802838898E1,-3.720062256E1
4.045608334E-2,-1.225926590E1,-2.794929504E1,-3.716777039E1
5.040608335E-2,-1.255730057E1,-2.776605225E1,-3.724101257E1
6.035608333E-2,-1.269598389E1,-2.759191513E1,-3.714425659E1
7.030508333E-2,-1.274764633E1,-2.758024597E1,-3.708712769E1
8.025508333E-2,-1.281174469E1,-2.756537247E1,-3.708189392E1
9.020408333E-2,-1.293469238E1,-2.734244919E1,-3.735357666E1
1.001540833E-1,-1.310711288E1,-2.738473511E1,-3.718479919E1
1.101030833E-1,-1.318227386E1,-2.742956924E1,-3.736410522E1
1.200530833E-1,-1.334847641E1,-2.736384583E1,-3.748866272E1
1.300030833E-1,-1.362519836E1,-2.716489410E1,-3.772248840E1
1.399520833E-1,-1.377264023E1,-2.713887787E1,-3.756085205E1
1.499020833E-1,-1.390391922E1,-2.698440552E1,-3.731854248E1
1.598510833E-1,-1.405312729E1,-2.684796906E1,-3.743975830E1
1.698010833E-1,-1.414015198E1,-2.667673492E1,-3.752400970E1
1.797500833E-1,-1.433144760E1,-2.670669937E1,-3.754531097E1
1.897000833E-1,-1.451778793E1,-2.659351349E1,-3.729767609E1
1.996490833E-1,-1.468754959E1,-2.633739090E1,-3.742278290E1
2.095990833E-1,-1.493196869E1,-2.615940857E1,-3.747113800E1
2.195490833E-1,-1.516256714E1,-2.603040695E1,-3.746543121E1
2.294980833E-1,-1.562448120E1,-2.582347107E1,-3.757843018E1
2.394480833E-1,-1.575820160E1,-2.582840347E1,-3.757873535E1
2.493970833E-1,-1.603715515E1,-2.560626030E1,-3.754653931E1
2.593470833E-1,-1.648987579E1,-2.538420868E1,-3.770323181E1
2.692960833E-1,-1.647869492E1,-2.539390182E1,-3.772097015E1
2.792460833E-1,-1.673551941E1,-2.535791779E1,-3.754882050E1
2.891960833E-1,-1.704533005E1,-2.512228394E1,-3.750864410E1
2.991450833E-1,-1.729579163E1,-2.471112442E1,-3.747966766E1
3.090950833E-1,-1.720634079E1,-2.461832428E1,-3.768475342E1
3.190440833E-1,-1.718653107E1,-2.438888550E1,-3.792874146E1
3.289940833E-1,-1.716486740E1,-2.411062241E1,-3.809399414E1
3.389430833E-1,-1.708522797E1,-2.375836563E1,-3.808375549E1
3.488930833E-1,-1.720221710E1,-2.352103424E1,-3.845859528E1
3.588430833E-1,-1.732401276E1,-2.322827911E1,-3.851250458E1
3.687920833E-1,-1.744209671E1,-2.293383026E1,-3.861489105E1
3.787420833E-1,-1.762837601E1,-2.246676826E1,-3.874903107E1
3.886910833E-1,-1.760866547E1,-2.210668182E1,-3.902046967E1
3.986410833E-1,-1.770468903E1,-2.163435364E1,-3.904718781E1
4.085900833E-1,-1.782446671E1,-2.138824272E1,-3.936060333E1
4.185400833E-1,-1.783810043E1,-2.112446022E1,-3.930066681E1
