"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.534999073E-4,-1.134041748E0,3.684138794E0,9.981842651E0
1.049849996E-2,-1.242865448E0,3.596570892E0,9.386829987E0
2.044250001E-2,-1.124311981E0,3.579057312E0,9.245523834E0
3.038649983E-2,-8.945397949E-1,3.684288483E0,9.244476013E0
4.033149988E-2,-7.761360168E-1,3.787274323E0,9.166188812E0
5.027549993E-2,-7.441026306E-1,3.799249420E0,8.910370789E0
6.021949998E-2,-7.271878052E-1,3.801045685E0,8.621022491E0
7.016350003E-2,-6.234535217E-1,3.812721405E0,8.396489410E0
8.010849985E-2,-5.257067871E-1,3.816463623E0,8.257278900E0
9.005249990E-2,-4.141886902E-1,3.807781677E0,8.282127228E0
9.999649995E-2,-3.582051086E-1,3.758085022E0,8.445587311E0
1.099415000E-1,-3.781137085E-1,3.661535797E0,8.669671326E0
1.198854998E-1,-3.685336304E-1,3.543281708E0,8.895551605E0
1.298294999E-1,-2.965333557E-1,3.486849060E0,9.099876709E0
1.397744999E-1,-2.965333557E-1,3.439098358E0,9.140142975E0
1.497185000E-1,-2.938389587E-1,3.464695129E0,9.079818420E0
1.596625000E-1,-2.779719543E-1,3.473526764E0,8.957672424E0
1.696064998E-1,-3.134481812E-1,3.479364624E0,8.860674133E0
1.795514999E-1,-3.700305176E-1,3.476670227E0,8.837173004E0
1.894954999E-1,-4.022135925E-1,3.478167114E0,8.880732422E0
1.994395000E-1,-4.403842163E-1,3.471431122E0,9.010961609E0
2.093844998E-1,-4.873864746E-1,3.467988281E0,9.130712585E0
2.193284999E-1,-5.569917297E-1,3.477119293E0,9.189689941E0
2.292724999E-1,-6.774911499E-1,3.442391510E0,9.268875275E0
2.392165000E-1,-7.952961731E-1,3.429218903E0,9.289232941E0
2.491615000E-1,-8.815168762E-1,3.457809448E0,9.285191345E0
2.591054998E-1,-1.011596375E0,3.501668243E0,9.161249084E0
2.690494999E-1,-1.072070618E0,3.657344513E0,8.911268921E0
