"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.049849996E-2,1.970979385E-3,-1.460127067E-2,1.641310751E-1
2.044250001E-2,-3.338031936E-3,-5.754581094E-2,1.604521871E-1
3.038649983E-2,1.444433350E-2,-5.910159647E-2,1.524262577E-1
4.033149988E-2,3.052343428E-2,-4.644599557E-2,1.437781751E-1
5.027549993E-2,2.876253054E-2,-3.817244247E-2,1.537207365E-1
6.021949998E-2,-7.053524256E-3,-2.979733050E-2,1.680637151E-1
7.016350003E-2,-6.056037918E-2,-2.399065904E-2,1.771836281E-1
8.010849985E-2,-1.218607575E-1,-2.638271078E-2,1.865864694E-1
9.005249990E-2,-1.733635515E-1,-2.426668257E-2,1.957177669E-1
9.999649995E-2,-2.040349096E-1,-2.109032869E-2,2.068457901E-1
1.099415000E-1,-2.105529457E-1,-2.035741881E-2,2.090120316E-1
1.198854998E-1,-1.904961467E-1,-2.475269884E-2,1.951449513E-1
1.298294999E-1,-1.539991945E-1,-3.018445522E-2,1.757731587E-1
1.397744999E-1,-1.315412968E-1,-3.243828937E-2,1.597939283E-1
1.497185000E-1,-1.212553233E-1,-4.684566706E-2,1.445428431E-1
1.596625000E-1,-1.207884699E-1,-4.544431344E-2,1.343602389E-1
1.696064998E-1,-1.387722641E-1,-1.463975012E-2,1.330446750E-1
1.795514999E-1,-1.595339924E-1,5.124900956E-3,1.283500642E-1
1.894954999E-1,-1.636938006E-1,3.104474954E-2,1.234675050E-1
1.994395000E-1,-1.568603963E-1,6.367327273E-2,1.130774543E-1
2.093844998E-1,-1.488626152E-1,8.405271173E-2,9.935885668E-2
2.193284999E-1,-1.341955215E-1,8.812867850E-2,8.550482243E-2
2.292724999E-1,-1.124147177E-1,7.075064629E-2,7.396764308E-2
2.392165000E-1,-8.030232042E-2,4.945946857E-2,6.488838792E-2
2.491615000E-1,-5.445514992E-2,5.624131858E-2,6.847630441E-2
2.591054998E-1,-4.472608864E-2,6.368325651E-2,8.590589464E-2
2.690494999E-1,-5.507320166E-2,6.721168756E-2,1.118674874E-1
2.789944999E-1,-8.405318856E-2,7.974238694E-2,1.501296461E-1
2.889385000E-1,-1.054227278E-1,1.088288948E-1,1.964739561E-1
2.988824998E-1,-1.192314848E-1,1.435269564E-1,2.250709832E-1
3.088274999E-1,-1.344576031E-1,1.513725370E-1,2.286256701E-1
3.187714999E-1,-1.642200202E-1,1.499118060E-1,2.206889093E-1
3.287155000E-1,-1.919517666E-1,1.275647730E-1,2.158508599E-1
3.386605000E-1,-2.262593955E-1,9.244219959E-2,2.175568789E-1
3.486044998E-1,-2.664286792E-1,7.550413907E-2,2.231930792E-1
3.585484999E-1,-3.109815121E-1,9.003567696E-2,2.334129661E-1
3.684924999E-1,-3.495951891E-1,1.084171236E-1,2.496484518E-1
3.784375000E-1,-3.662364781E-1,1.226597130E-1,2.479533404E-1
3.883814998E-1,-3.772477508E-1,1.464362144E-1,2.213598639E-1
3.983254998E-1,-3.810198307E-1,1.751727760E-1,1.899452209E-1
4.082704999E-1,-3.833524585E-1,2.173134536E-1,1.795113683E-1
4.182145000E-1,-3.713823557E-1,2.223026156E-1,1.731607914E-1
4.281585000E-1,-3.378871679E-1,2.029542029E-1,1.774689555E-1
4.381034998E-1,-2.944011986E-1,1.664795429E-1,1.975427866E-1
4.480474999E-1,-2.368883044E-1,1.515266895E-1,2.462488562E-1
4.579914999E-1,-1.637863964E-1,1.664992571E-1,3.070386946E-1
4.679355000E-1,-8.998387307E-2,1.834527105E-1,3.645776510E-1
4.778805000E-1,-3.046089038E-2,1.721795499E-1,4.082177877E-1
4.878244998E-1,1.679704152E-2,1.335598677E-1,4.569569826E-1
4.977684999E-1,5.088310689E-2,1.005196348E-1,5.312975049E-1
5.077134999E-1,5.866008252E-2,1.080132797E-1,6.235255599E-1
5.176575000E-1,4.962477461E-2,1.323244721E-1,7.230427861E-1
5.276014998E-1,3.116320632E-2,1.359642148E-1,8.206551075E-1
5.375464999E-1,1.360392198E-2,1.638389975E-1,9.022232294E-1
5.474893332E-1,-2.805629931E-2,2.033652663E-1,9.745808840E-1
5.574333332E-1,-1.072890759E-1,2.483271509E-1,1.039228082E0
5.673773333E-1,-2.320311368E-1,2.743154466E-1,1.119002700E0
5.773223334E-1,-4.190665483E-1,3.358139694E-1,1.214903116E0
5.872663332E-1,-6.288207173E-1,4.288906455E-1,1.328108549E0
5.972103332E-1,-8.361318111E-1,5.308330059E-1,1.469284058E0
6.071553333E-1,-9.853516221E-1,6.215012074E-1,1.607460380E0
6.170993333E-1,-1.040689230E0,7.001638412E-1,1.721064687E0
6.270433331E-1,-1.004124641E0,7.654396892E-1,1.793451786E0
6.369873332E-1,-8.978288174E-1,8.044366241E-1,1.840101838E0
6.469323332E-1,-7.325999737E-1,8.095795512E-1,1.860372186E0
6.568763333E-1,-5.422132611E-1,7.803196907E-1,1.869314790E0
6.668203333E-1,-3.637729585E-1,7.382102609E-1,1.883075118E0
6.767653332E-1,-2.321891040E-1,7.153353095E-1,1.924719334E0
6.867093332E-1,-1.778276265E-1,7.217637300E-1,2.008399725E0
6.966533333E-1,-1.665299684E-1,7.377184629E-1,2.097831726E0
7.065983333E-1,-1.973429173E-1,7.184330225E-1,2.177194118E0
7.165423331E-1,-2.605080307E-1,6.644738913E-1,2.245424747E0
7.264863332E-1,-3.095610142E-1,6.155570745E-1,2.306630611E0
7.364303332E-1,-3.504687846E-1,5.512624979E-1,2.359640121E0
7.463753333E-1,-3.782364130E-1,4.718923569E-1,2.400723457E0
7.563193333E-1,-3.951845169E-1,4.277536571E-1,2.441515207E0
7.662633331E-1,-4.251707792E-1,4.369412363E-1,2.473818302E0
7.762083332E-1,-4.689475596E-1,4.386041164E-1,2.498799562E0
7.861523333E-1,-5.162851214E-1,4.328208566E-1,2.536455870E0
7.960963333E-1,-5.599969029E-1,4.351322055E-1,2.595283508E0
8.060413334E-1,-5.710351467E-1,4.592824578E-1,2.676938295E0
8.159853332E-1,-5.305330157E-1,5.109203458E-1,2.753105402E0
8.259293332E-1,-4.460059106E-1,6.099543571E-1,2.798004150E0
8.358733333E-1,-3.402661681E-1,7.505415678E-1,2.803697348E0
8.458183333E-1,-2.240399718E-1,8.604019880E-1,2.785382986E0
8.557623331E-1,-9.243348241E-2,9.022509456E-1,2.746800423E0
8.657063332E-1,3.513495997E-2,9.052906632E-1,2.687710285E0
8.756513332E-1,1.481129080E-1,8.627423644E-1,2.613613129E0
8.855953333E-1,2.259521931E-1,7.750620246E-1,2.533504963E0
8.955393333E-1,2.638742924E-1,6.713917851E-1,2.467410088E0
9.054833332E-1,2.925688326E-1,5.644221902E-1,2.400791168E0
9.154283332E-1,3.312491179E-1,4.850227237E-1,2.328756332E0
9.253723333E-1,3.820708692E-1,4.272095859E-1,2.263394117E0
9.353163333E-1,4.451537132E-1,3.937970400E-1,2.188294172E0
9.452613331E-1,5.165941715E-1,3.872493505E-1,2.094238520E0
9.552053332E-1,5.865687132E-1,3.824998736E-1,1.977828026E0
9.651493332E-1,6.532046199E-1,3.708535433E-1,1.834797144E0
9.750943333E-1,6.957480907E-1,3.614842892E-1,1.677934051E0
9.850383333E-1,7.072983384E-1,3.330329359E-1,1.500334620E0
9.949823332E-1,7.024793029E-1,2.520017028E-1,1.320460439E0
1.004926333E0,6.867560148E-1,1.368182153E-1,1.162801266E0
1.014871333E0,6.521255970E-1,4.137185588E-2,1.043224454E0
1.024815333E0,5.445526838E-1,1.775719412E-2,9.731024504E-1
