"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.044004440E-3,4.387887930E1,1.252987988E2,2.404553735E2,NaN,NaN,3.089501400E1,3.001962054E1
6.288186312E-1,4.387890503E1,1.252990795E2,2.328796930E2,0.000000000E0,NaN,2.792795464E1,1.600000000E1
2.115803361E0,4.387891840E1,1.252990923E2,2.428128595E2,3.300000131E-1,9.140625000E1,2.440751140E1,1.200000000E1
3.115786791E0,4.387892401E1,1.252990956E2,2.336318293E2,3.300000131E-1,4.324218750E1,2.218241964E1,8.000000000E0
4.115769625E0,4.387893470E1,1.252990975E2,2.329888849E2,9.700000286E-1,2.390625000E1,2.249937778E1,6.000000000E0
5.115752935E0,4.387894262E1,1.252990980E2,2.334993830E2,5.600000024E-1,2.320312500E1,2.176776651E1,4.000000000E0
6.115737677E0,4.387894945E1,1.252990995E2,2.335583429E2,8.399999738E-1,3.128906250E1,2.176776651E1,4.000000000E0
7.116043687E0,4.387895855E1,1.252991006E2,2.336890192E2,8.399999738E-1,2.460937500E1,2.176776651E1,4.000000000E0
8.116047978E0,4.387896802E1,1.252990993E2,2.336231623E2,1.070000052E0,7.031250000E0,2.176776651E1,4.000000000E0
9.116032600E0,4.387897208E1,1.252990947E2,2.333787775E2,3.199999928E-1,3.420703125E2,2.176776651E1,4.000000000E0
1.011604273E1,4.387897238E1,1.252990843E2,2.332760553E2,8.600000143E-1,2.984765625E2,2.176776651E1,4.000000000E0
1.111605191E1,4.387896936E1,1.252990717E2,2.332852106E2,6.100000143E-1,2.475000000E2,2.176776651E1,3.000000000E0
1.211603355E1,4.387896211E1,1.252990632E2,2.331765680E2,7.699999809E-1,2.271093750E2,2.176776651E1,3.000000000E0
1.311604023E1,4.387895138E1,1.252990587E2,2.330643244E2,1.220000029E0,1.898437500E2,2.176776651E1,3.000000000E0
1.411604619E1,4.387894056E1,1.252990561E2,2.330643245E2,1.220000029E0,1.898437482E2,2.176776651E1,3.000000000E0
1.511602569E1,4.387892651E1,1.252990599E2,2.330732357E2,1.279999971E0,1.764843757E2,2.176776651E1,3.000000000E0
1.611602938E1,4.387891385E1,1.252990625E2,2.331784603E2,1.250000000E0,1.750781259E2,2.176776651E1,3.000000000E0
1.711603653E1,4.387890158E1,1.252990644E2,2.331283504E2,1.250000000E0,1.747265635E2,2.176776651E1,3.000000000E0
1.811601949E1,4.387889068E1,1.252990626E2,2.330978939E2,1.250000000E0,1.814062497E2,2.176776651E1,3.000000000E0
