"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.013620832E-2,-7.626857758E0,-2.535637665E1,-3.826395416E1
2.008420831E-2,-7.611125946E0,-2.520961761E1,-3.840755463E1
3.003320831E-2,-7.661754608E0,-2.524523163E1,-3.831259918E1
3.998220834E-2,-7.945579529E0,-2.513096237E1,-3.845221710E1
4.993020833E-2,-7.945579529E0,-2.513096237E1,-3.845221710E1
5.987920833E-2,-8.073440552E0,-2.485926056E1,-3.853238678E1
6.982820833E-2,-8.214492798E0,-2.484579086E1,-3.854309845E1
7.977620832E-2,-8.441696167E0,-2.463003349E1,-3.863387299E1
8.972520832E-2,-8.602245331E0,-2.445014191E1,-3.894812775E1
9.967320831E-2,-8.944248199E0,-2.415592957E1,-3.916284943E1
1.096222083E-1,-9.159805298E0,-2.378747368E1,-3.910491180E1
1.195712083E-1,-9.443328857E0,-2.350367355E1,-3.921805573E1
1.295192083E-1,-9.776508331E0,-2.319972610E1,-3.934536743E1
1.394682083E-1,-9.930831909E0,-2.289214706E1,-3.935649109E1
1.494172083E-1,-1.023310089E1,-2.280398560E1,-3.944055176E1
1.593652083E-1,-1.051749420E1,-2.246679497E1,-3.958993530E1
1.693142083E-1,-1.086865997E1,-2.230835342E1,-3.978880310E1
1.792632083E-1,-1.110564423E1,-2.196134186E1,-3.958164215E1
1.892112083E-1,-1.147502899E1,-2.174599648E1,-3.964031219E1
1.991602083E-1,-1.205842209E1,-2.131021118E1,-3.981963348E1
2.091092083E-1,-1.251773834E1,-2.110162735E1,-3.983124542E1
2.190572083E-1,-1.319244003E1,-2.050539017E1,-3.988625336E1
2.290062083E-1,-1.379650497E1,-2.018442917E1,-3.981528473E1
2.389552083E-1,-1.446218872E1,-1.976416206E1,-3.982417297E1
2.489032083E-1,-1.486038208E1,-1.933588982E1,-3.984239197E1
2.588522083E-1,-1.546548843E1,-1.917363548E1,-3.966915131E1
2.688012083E-1,-1.565169525E1,-1.885522079E1,-3.975070953E1
2.787492083E-1,-1.590990448E1,-1.880190659E1,-3.975076294E1
2.886982083E-1,-1.608747864E1,-1.864572334E1,-3.984709167E1
2.986472083E-1,-1.623756027E1,-1.842959595E1,-3.985624695E1
3.085952083E-1,-1.624584579E1,-1.836168671E1,-3.968716431E1
3.185442083E-1,-1.633546448E1,-1.816977692E1,-3.966760254E1
3.284932083E-1,-1.633546448E1,-1.816977692E1,-3.966760254E1
3.384412083E-1,-1.638104248E1,-1.802767754E1,-3.963725281E1
3.483902083E-1,-1.653334427E1,-1.774196243E1,-3.963796997E1
3.583392083E-1,-1.690775299E1,-1.720573616E1,-3.985633850E1
3.682872083E-1,-1.708765030E1,-1.691832542E1,-4.017926025E1
3.782362083E-1,-1.725426483E1,-1.649154663E1,-4.030204773E1
3.881852083E-1,-1.729697037E1,-1.592270088E1,-4.073718262E1
3.981332083E-1,-1.743045807E1,-1.556693840E1,-4.053985596E1
4.080822083E-1,-1.732919693E1,-1.532876015E1,-4.062980652E1
4.180302083E-1,-1.733591080E1,-1.520098877E1,-4.072348022E1
4.279792083E-1,-1.729520416E1,-1.512304497E1,-4.087408447E1
4.379282083E-1,-1.733618164E1,-1.511780357E1,-4.099513245E1
4.478772083E-1,-1.752364349E1,-1.506483173E1,-4.077462769E1
4.578252083E-1,-1.766959763E1,-1.512070942E1,-4.036854553E1
4.677742083E-1,-1.802633667E1,-1.530242634E1,-4.038879395E1
4.777222083E-1,-1.827165604E1,-1.538416386E1,-3.989927673E1
4.876712083E-1,-1.849060822E1,-1.569445229E1,-3.974760437E1
4.976202083E-1,-1.873760223E1,-1.580029488E1,-3.957173157E1
5.075682083E-1,-1.895375061E1,-1.606975365E1,-3.943252563E1
5.175172083E-1,-1.901546860E1,-1.633868980E1,-3.946694946E1
5.274662083E-1,-1.878983688E1,-1.671139336E1,-3.945437622E1
5.374142083E-1,-1.857896423E1,-1.694677925E1,-3.950326538E1
5.473632083E-1,-1.796342087E1,-1.734807396E1,-3.974476624E1
5.573122083E-1,-1.759480286E1,-1.755046654E1,-3.964961243E1
5.672602083E-1,-1.694333267E1,-1.779214096E1,-3.950705719E1
5.772092083E-1,-1.655493164E1,-1.809691811E1,-3.961968231E1
5.871582083E-1,-1.611374664E1,-1.840037537E1,-3.977133942E1
5.971062083E-1,-1.600988007E1,-1.852760315E1,-3.973346710E1
