east_cell,north_cell,east_m,north_m,b_total_uT,b_mean_uT,sample_count,session_count,b_q25_uT,b_q75_uT,b_iqr_uT
0,34,-3.871138089,-2.903520637,21.421032620,21.421034745,9,1,21.402835184,21.436732276,0.033897091
0,35,-3.879521437,-2.803389159,21.408188725,21.379099418,35,1,21.326926540,21.431188665,0.104262125
0,36,-3.885209400,-2.661594789,21.364206106,21.371058597,35,1,21.336643809,21.406386673,0.069742864
0,37,-3.893897143,-2.513143057,21.427035771,21.389357222,40,1,21.339105332,21.465288081,0.126182749
0,38,-3.903353729,-2.361860054,21.505718321,21.468686539,39,1,21.377086895,21.575620574,0.198533679
0,39,-3.910204719,-2.210063213,21.525645739,21.526605268,34,1,21.468068138,21.599080119,0.131011980
0,40,-3.921375558,-2.057460986,21.611818099,21.610026526,32,1,21.536533204,21.693044515,0.156511311
0,41,-3.930228796,-1.909847311,21.463655018,21.470015674,33,1,21.422567998,21.529001180,0.106433182
0,42,-3.937321885,-1.766241168,21.267392932,21.273659967,37,1,21.209426997,21.334277353,0.124850356
0,43,-3.943038035,-1.611784183,21.496309912,21.494520122,37,1,21.458903944,21.527232384,0.068328441
0,44,-3.952541091,-1.463342848,21.494267073,21.483104448,39,1,21.439208630,21.531577413,0.092368783
0,45,-3.960790501,-1.307738417,21.398881533,21.430096662,37,1,21.351859442,21.512784304,0.160924861
0,46,-3.962301671,-1.160732366,21.701922217,21.636604491,40,1,21.473684012,21.763863437,0.290179425
0,47,-3.972140363,-1.016213026,21.476287766,21.474445648,38,1,21.375869113,21.547064511,0.171195399
0,48,-3.979755079,-0.862871709,21.297307811,21.284923414,34,1,21.170249596,21.390450406,0.220200809
0,49,-3.982932196,-0.711313297,21.208587226,21.215799886,33,1,21.153003371,21.257204580,0.104201208
0,50,-3.987368269,-0.557303436,21.389314358,21.373974773,32,1,21.320086553,21.432578472,0.112491919
0,51,-3.997654166,-0.411911140,21.312397342,21.335650438,34,1,21.271741538,21.393027072,0.121285534
0,52,-3.999290731,-0.256138544,21.421040498,21.407310537,33,1,21.357241218,21.478479183,0.121237965
0,53,-4.003168522,-0.108264514,21.443814313,21.452689322,31,1,21.419580976,21.496184641,0.076603665
0,54,-4.006628194,0.044131191,21.391121161,21.408038967,35,1,21.355641471,21.425521698,0.069880227
0,55,-4.010645205,0.187387638,21.269891455,21.285739819,36,1,21.225037921,21.343848674,0.118810753
0,56,-4.010393196,0.339699303,21.247897822,21.253685742,40,1,21.181128123,21.310355757,0.129227634
0,57,-4.007580031,0.493520207,21.531958459,21.534524708,44,1,21.489023470,21.587505402,0.098481931
0,58,-4.013595152,0.648641652,21.161682007,21.176252656,64,1,21.081342997,21.254614503,0.173271505
0,59,-4.016451808,0.791401187,21.236638685,21.248311310,67,1,21.141898975,21.344667205,0.202768230
0,60,-4.004017299,0.965785878,21.081887352,20.937080645,194,1,20.852706286,21.190434165,0.337727880
1,20,-3.718968759,-4.987134714,20.651585387,20.651585387,1,1,20.651585387,20.651585387,0.000000000
1,21,-3.726760875,-4.911529559,20.872336659,20.844558785,38,1,20.801003995,20.905911607,0.104907612
1,22,-3.739134715,-4.753936492,20.982074852,20.986000164,45,1,20.826216086,21.193242413,0.367026327
1,23,-3.753676620,-4.606278716,20.631558492,20.628984493,45,1,20.588409131,20.696928925,0.108519794
1,24,-3.767119992,-4.462015923,20.633037612,20.614808938,54,1,20.536350111,20.671834442,0.135484331
1,25,-3.776980741,-4.311696692,20.683763041,20.687859882,47,1,20.624766173,20.739154067,0.114387893
1,26,-3.790379514,-4.153719596,20.796890946,20.791150142,43,1,20.679023058,20.874881404,0.195858346
1,27,-3.798005728,-4.000768707,20.961518150,20.960813205,54,1,20.895189682,21.007126496,0.111936813
1,28,-3.806436836,-3.869695417,21.138923443,21.148394607,59,1,21.092641670,21.194795125,0.102153454
1,29,-3.818390074,-3.715496119,21.012186451,21.017407887,50,1,20.944534305,21.107566672,0.163032366
1,30,-3.827840072,-3.562373256,21.022713855,21.086419412,39,1,20.892797423,21.281190963,0.388393540
1,31,-3.839551892,-3.413571734,21.189516613,21.218691014,38,1,21.152046508,21.267777348,0.115730840
1,32,-3.851734646,-3.258241572,21.387007883,21.357367417,36,1,21.309646407,21.422064387,0.112417980
1,33,-3.861182114,-3.102740756,21.416460426,21.414494366,38,1,21.354639998,21.493418639,0.138778641
1,34,-3.866121677,-2.980919950,21.446907042,21.476410041,28,1,21.394195004,21.555191559,0.160996555
2,4,-3.568943310,-7.437593244,20.486206970,20.523988858,15,1,20.461705211,20.587537756,0.125832545
2,5,-3.572773955,-7.284739935,20.242811402,20.241348333,37,1,20.149728265,20.332247748,0.182519483
2,6,-3.586190342,-7.164437801,20.073605502,20.065084160,48,1,20.017497375,20.121248308,0.103750933
2,7,-3.592201850,-7.016692353,20.132550884,20.121505606,43,1,20.044785362,20.194780330,0.149994968
2,8,-3.597076825,-6.862118458,20.082852782,20.083068604,42,1,20.017868565,20.131300620,0.113432055
2,9,-3.605317023,-6.711275427,20.258247145,20.239165514,42,1,20.131989974,20.350263000,0.218273025
2,10,-3.619394752,-6.552923920,20.401343198,20.374246681,44,1,20.292790780,20.450535882,0.157745103
2,11,-3.629678458,-6.404641449,20.384156410,20.382193306,49,1,20.334998224,20.426797439,0.091799215
2,12,-3.639161750,-6.262865961,20.457143878,20.488061144,45,1,20.417517138,20.541187901,0.123670762
2,13,-3.647725825,-6.110830122,20.307825669,20.323946813,44,1,20.253657051,20.366317769,0.112660718
2,14,-3.657638382,-5.962355051,20.300815149,20.329453647,39,1,20.229869140,20.428941488,0.199072348
2,15,-3.667289695,-5.808794221,20.663269353,20.684069445,39,1,20.611183471,20.770767413,0.159583942
2,16,-3.677905382,-5.656212147,20.627140576,20.624566920,40,1,20.569920956,20.693347490,0.123426534
2,17,-3.681636893,-5.504474489,20.552922862,20.572094970,39,1,20.515653518,20.641205173,0.125551655
2,18,-3.687111622,-5.360908456,20.556460070,20.598279430,41,1,20.392925120,20.781567372,0.388642253
2,19,-3.703903785,-5.210978543,20.700182764,20.706022472,36,1,20.639368893,20.771998720,0.132629826
2,20,-3.715778310,-5.066267353,20.625222873,20.622422928,32,1,20.581928799,20.678228856,0.096300058
3,1,-3.546580800,-7.847178224,21.012581964,21.005828343,176,1,20.924131559,21.091945974,0.167814415
3,2,-3.550679621,-7.795219990,20.968526082,20.892185639,259,1,20.735882422,21.098831708,0.362949286
