session_id,local_datetime,seconds_of_day,sensor_time_s,x_uT,y_uT,z_uT,b_total_uT,latitude_deg,longitude_deg,east_m,north_m,rtk_fix_quality,rtk_satellites,rtk_hdop,rtk_interp_gap_s,rtk_valid,source_magnetic_zip,source_rtk_log,time_source,session_review_flag
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.592825,74400.592825000,0.020825167,7.657989502,18.261779790,-2.056640625,19.908972223,43.879480902,125.299776186,-3.990850863,0.982912881,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.602772,74400.602772000,0.030772167,7.778533936,18.150260930,-2.062332153,19.854238236,43.879480897,125.299776186,-3.990846066,0.982304239,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.612719,74400.612719000,0.040719167,7.823257446,18.172248840,-2.067794800,19.892454859,43.879480896,125.299776182,-3.991138389,0.982267371,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.622666,74400.622666000,0.050666167,7.811763763,18.256843570,-1.947113037,19.953126056,43.879480896,125.299776178,-3.991430713,0.982230502,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.632613,74400.632613000,0.060613167,7.778068542,18.195304870,-2.095932007,19.898753743,43.879480896,125.299776175,-3.991723036,0.982193634,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.642561,74400.642561000,0.070561167,7.757125854,18.208824160,-1.989517212,19.892019946,43.879480895,125.299776171,-3.992015388,0.982156762,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.652508,74400.652508000,0.080508167,7.710666656,18.317695620,-2.041870117,19.979028672,43.879480895,125.299776167,-3.992307711,0.982119893,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.662455,74400.662455000,0.090455167,7.723991394,18.231510160,-2.038558960,19.904866953,43.879480895,125.299776164,-3.992600034,0.982083025,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.672402,74400.672402000,0.100402167,7.622280121,18.349914550,-2.079528809,19.978562468,43.879480894,125.299776160,-3.992892358,0.982046156,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.682349,74400.682349000,0.110349167,7.610515594,18.267322540,-2.177917480,19.908750461,43.879480894,125.299776156,-3.993184681,0.982009288,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.692296,74400.692296000,0.120296167,7.778995514,18.198230740,-2.226531982,19.915968918,43.879480894,125.299776153,-3.993477004,0.981972419,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.702243,74400.702243000,0.130243167,7.885959625,18.219360350,-2.160476685,19.970005265,43.879480895,125.299776150,-3.993724383,0.982076883,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.712190,74400.712190000,0.140190167,8.006763458,18.232097630,-2.040405273,20.017015231,43.879480900,125.299776149,-3.993817395,0.982666780,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.722137,74400.722137000,0.150137167,7.948795319,18.278755190,-2.063369751,20.038805679,43.879480905,125.299776147,-3.993910407,0.983256676,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
Geomagnetic Map Building 2026-04-29 20-40-40,2026-04-29 20:40:00.732084,74400.732084000,0.160084167,8.027080536,18.268039700,-2.339889526,20.090554482,43.879480910,125.299776146,-3.994003419,0.983846573,4,6,2.990000000,0.100000000,True,Geomagnetic Map Building 2026-04-29 20-40-40.zip,LOG00040.TXT,meta/time.csv START system time,review_magnitude_shift_do_not_auto_exclude
